,,,,,,,
,,,,,,,
Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State,Grant #
Community Health Service Inc. - South Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Olmsted County,MN,H80CS00660
"CHCS,INC - Mobile Unit Two",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Warren County,GA,H80CS00507
Mountain Park Health Center - Tempe,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS00141
Neighborcare Health at 45th Street - Medical,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA,H80CS00829
Park Tree Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY,H80CS00368
YES Prep Northline,Yes,Service Delivery Site,Seasonal,School,Harris County,TX,H80CS07502
Heritage Health 1038 NW Blvd,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kootenai County,ID,H80CS02331
North Hudson Community Action Corporation Health Center @ Union City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hudson County,NJ,H80CS00521
Banyan Care Mobile,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Miami-Dade County,FL,H80CS28344
Keokuk County Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Keokuk County,IA,H80CS00796
Harry S. Truman School SBHC,Yes,Service Delivery Site,Seasonal,School,Jefferson Parish,LA,H80CS00867
CRENSHAW COMMUNITY HEALTH CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00850
Northeast High School,Yes,Service Delivery Site,Seasonal,School,Crawford County,KS,H80CS00841
St George Traditional Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Aleutians West Census Area,AK,H80CS01129
CHC/SEIA WEST BURLINGTON CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Des Moines County,IA,H80CS00272
Contentnea Health KBR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Greene County,NC,H80CS00088
HENRIETTA JOHNSON MEDICAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New Castle County,DE,H80CS00385
One Health - Miles City Finance,No,Administrative,Permanent,Unknown,Custer County,MT,H80CS24102
La Clinica Community Pharmacy--Market Street,No,Administrative,Permanent,All Other Clinic Types,Jackson County,OR,H80CS00759
Great Mines Health Center Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Washington County,MO,H80CS06670
San Fernando Community Health Center-Admin,No,Administrative,Permanent,Unknown,Los Angeles County,CA,H80CS28994
Crossroads Healthcare Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Laramie County,WY,H80CS00042
SOUTHERN COMMUNITY HLTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Koror State,PW,H80CS02467
Sea Mar CHC – Everett W Mukilteo Blvd,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Snohomish County,WA,H80CS00445
RAPIDES PRIMARY HEALTH CARE CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Rapides Parish,LA,H80CS00244
Woodland Primary Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Northampton County,NC,H80CS08737
LA CLINICA DE LA RAZA - WIC PROGRAM,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA,H80CS00631
LMC - EAST OAKLAND CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA,H80CS00808
TCC Family Health and Wellness,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00264
Stout Street Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Denver County,CO,H80CS00040
Sandhills Medical Foundation - Pageland,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chesterfield County,SC,H80CS00501
Centerstone Health Services,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,IN,[No Data]
Marimn Health Mobile Medical Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Benewah County,ID,H80CS00544
AZA HEALTH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alachua County,FL,H80CS00081
AMSTERDAM FAMILY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY,H80CS00768
University of Illinois Medical Center - Mile Square Health Center at South Shore,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00324
Pine Forest High School,Yes,Service Delivery Site,Permanent,School,Escambia County,FL,H80CS08755
CCS @ Recovery Connections of Maine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Androscoggin County,ME,[No Data]
Central Jersey Medical Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Middlesex County,NJ,H80CS00253
Lebanon R-III - Hillcrest Education Center,Yes,Service Delivery Site,Permanent,School,Laclede County,MO,H80CS00275
Central Valley PACE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA,H80CS00742
GOSHEN MEDICAL CENTER - NEW RIVER MOBILE UNIT,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Onslow County,NC,H80CS00181
NORTH EAST MEDICAL SERVICES - MEDICAL ONCOLOGY,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA,H80CS00221
Family Health Care - Big Rapids,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mecosta County,MI,H80CS00108
Organ Mountain High School - School based Health Center,Yes,Service Delivery Site,Permanent,School,Dona Ana County,NM,H80CS00316
CHYBA School,Yes,Service Delivery Site,Permanent,School,Shasta County,CA,H80CS04226
KCHD/KCCHC Main,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Knox County,OH,H80CS30716
Northern Express Care - St. Johnsbury,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Caledonia County,VT,H80CS00632
North Park Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS00224
"First Care Clinic, Inc. - 22nd Street",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ellis County,KS,H80CS12891
Canyonlands Healthcare - Safford Integrated,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Graham County,AZ,H80CS00448
Kanesville Learning Center,Yes,Service Delivery Site,Seasonal,School,Pottawattamie County,IA,H80CS00570
FirstMed Health and Wellness Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Clark County,NV,H80CS26513
Share Ourselves at Costa Mesa,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA,H80CS24199
White Sulphur Springs Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Greenbrier County,WV,H80CS18278
Henry F. Moss Middle Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Warren County,KY,H80CS08218
JHS 291 - Roland Hayes Campus,Yes,Administrative/Service Delivery Site,Permanent,School,Kings County,NY,H80CS07914
KentuckyCare - 038,Yes,Service Delivery Site,Permanent,School,McCracken County,KY,H80CS00207
Northside Elementary School,Yes,Service Delivery Site,Seasonal,School,Bonner County,ID,H80CS00302
NEW Health Chewelah Medical,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stevens County,WA,H80CS00493
HopeHealth Community Center,No,Administrative,Permanent,All Other Clinic Types,Florence County,SC,H80CS08240
Metropolis Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Massac County,IL,H80CS00711
Physicians Care Thomasville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clarke County,AL,[No Data]
Community Health Shawnee Family Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pottawatomie County,OK,H80CS00320
LA CLINICA NORTH VALLEJO,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Solano County,CA,H80CS00631
Price Hill Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,OH,H80CS25683
Centro Medico Community Clinic Los Angeles Ste 101,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,[No Data]
Joseph P. Addabbo Family Health Center at Richards Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,H80CS00430
KentuckyCare - 153,Yes,Service Delivery Site,Permanent,School,Livingston County,KY,H80CS00207
Heritage Health SBHC Lakeland School District Office,Yes,Service Delivery Site,Permanent,School,Kootenai County,ID,H80CS02331
Winding Waters Open Space,No,Administrative,Permanent,All Other Clinic Types,Wallowa County,OR,H80CS29023
Healthcare Network Manatee Middle,Yes,Service Delivery Site,Permanent,School,Collier County,FL,H80CS00735
Gulf Coast Health Center Inc. Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Jasper County,TX,H80CS00408
Neighborhood Health Center Cardinal,Yes,Service Delivery Site,Seasonal,School,Union County,NJ,H80CS00645
Shortgrass Community Health Center Altus,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,OK,H80CS24144
Peninsula Healthcare Connection,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA,[No Data]
West Burlington Independent School District - Jr/Sr High School,Yes,Service Delivery Site,Permanent,School,Des Moines County,IA,H80CS00272
Northeast Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Adair County,MO,H80CS00731
MAHEC OBGYN Specialists,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Buncombe County,NC,[No Data]
The C.W. Williams Community Health Center Inc.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mecklenburg County,NC,H80CS00428
MS 88 School-Based Health Center,Yes,Service Delivery Site,Seasonal,School,Kings County,NY,H80CS07914
CareConnect Urgent Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Spalding County,GA,H80CS00393
Tri-State Community Healthcare Center,No,Administrative,Permanent,All Other Clinic Types,San Bernardino County,CA,H80CS28370
Neighborhood Healthcare ~ Chablis Court,No,Administrative,Permanent,All Other Clinic Types,San Diego County,CA,H80CS00285
Mercer Central/Day Treatment Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Mercer County,KY,H80CS08218
GOSHEN MEDICAL CENTER - NEW RIVER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Onslow County,NC,H80CS00181
9th Street Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stark County,OH,H80CS06654
Dental Mobile Unit (DMU),Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Darlington County,SC,H80CS00654
Adult and Child at Franklin Central Junior High,Yes,Service Delivery Site,Permanent,School,Marion County,IN,[No Data]
Greater New Bedford Community Health Center ADMIN,No,Administrative,Permanent,Unknown,Bristol County,MA,H80CS00511
Affinia Healthcare 4414 N. Florissant,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Louis City,MO,H80CS00415
Star Community Health,No,Administrative,Permanent,Unknown,Warren County,NJ,[No Data]
Sixteenth Street Community Health Centers-St Anthony School-Middle,Yes,Service Delivery Site,Permanent,School,Milwaukee County,WI,H80CS00593
Chicago Family Health Center- Pullman,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00514
Kedren Community Care Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS26619
Kintegra at Kings Mountain Middle,Yes,Service Delivery Site,Permanent,School,Cleveland County,NC,H80CS00293
AxessPointe Community Health Centers/Kent,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Portage County,OH,H80CS00117
"Family Health Care Centers of Greater Los Angeles, Inc.",No,Administrative,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS12858
ARcare - 072,Yes,Service Delivery Site,Permanent,All Other Clinic Types,White County,AR,H80CS00207
ADMINISTRATION,No,Administrative,Permanent,Unknown,Honolulu County,HI,H80CS00814
Hurlock Head Start Center,Yes,Service Delivery Site,Seasonal,School,Dorchester County,MD,H80CS00176
Med Centro Ponce Main Site,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Ponce Municipio,PR,H80CS00063
Newtown High School SBHC,Yes,Service Delivery Site,Permanent,School,Queens County,NY,H80CS00368
DAP Health - Woolcott Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS28988
FourPoints Health - Kanosh Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Millard County,UT,H80CS26515
LA CLINICA NORTH VALLEJO SUPPORT SERVICES,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Solano County,CA,H80CS00631
Mobile Health Clinic 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Denver County,CO,H80CS00218
Cares Community Health dba One Community Health - Carmichael Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA,H80CS28364
GOODNEWS BAY VILLAGE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bethel Census Area,AK,H80CS01133
"Community Clinic, Inc",No,Administrative,Permanent,Unknown,Montgomery County,MD,H80CS10591
Reed City Schools CAHC,Yes,Service Delivery Site,Permanent,School,Osceola County,MI,H80CS00108
AccessHealth Brookshire Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Raleigh County,WV,H80CS00345
Hope Christian Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,NV,H80CS28967
TC HOUSE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Barbara County,CA,H80CS00046
GCHC-Dr Garza Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Webb County,TX,H80CS00779
Mobile Area Health Clinic (MAHC),Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Edgecombe County,NC,H80CS24162
Jemez Comprehensive Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sandoval County,NM,H80CS26584
Catherine's Health Center Degage,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MI,H80CS39465
AccessHealth Fairdale School-Based Clinic,Yes,Service Delivery Site,Seasonal,School,Raleigh County,WV,H80CS00345
CFHC IT and QI,No,Administrative,Permanent,Unknown,Polk County,FL,H80CS00423
Nondalton Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake and Peninsula Borough,AK,H80CS01128
PMS -ORTIZ MOUNTAIN HLTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Fe County,NM,H80CS00205
Beloved Community Family Wellness Satellite Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS08258
Knickrehm Elementary School,Yes,Service Delivery Site,Seasonal,School,Hall County,NE,H80CS26562
CommuniHealth Services - Monroe Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Ouachita Parish,LA,H80CS08764
CHS Catlettsburg Elementary School Clinic,Yes,Service Delivery Site,Seasonal,School,Sevier County,TN,H80CS00309
Palms Medical Group – High Springs,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Alachua County,FL,H80CS00691
"Florida Community Health Centers, Inc. - Mobile Unit 2",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Hendry County,FL,H80CS00798
Genesis Family Health Ulysses - Admin,No,Administrative,Permanent,All Other Clinic Types,Grant County,KS,H80CS00838
Knox Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Knox County,IL,H80CS24132
IHC at South Bend,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Joseph County,IN,H80CS00668
"Greater Sioux Community Health Center, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sioux County,IA,H80CS24171
Palm River Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hillsborough County,FL,H80CS00541
FHN - Menard HS,Yes,Service Delivery Site,Seasonal,School,Menard County,TX,H80CS08225
Biloxi Pediatric Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harrison County,MS,H80CS00188
"Bassick High School, School Based Health Clinic",Yes,Service Delivery Site,Permanent,School,Greater Bridgeport Planning Region,CT,H80CS00613
Altona Brown Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yukon-Koyukuk Census Area,AK,H80CS08220
Diana Baldwin Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA,H80CS26634
VPCHC - Clinton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Vermillion County,IN,H80CS08776
Sixteenth Street Community Health Centers - Carmen Schools-South High School,Yes,Service Delivery Site,Permanent,School,Milwaukee County,WI,H80CS00593
Cahaba Medical Care - Centreville Dental Office,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bibb County,AL,H80CS24177
Muskingum Valley Health Centers - Mobile 3,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Muskingum County,OH,H80CS08783
FamilyCare Health Center - Cross Lanes,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kanawha County,WV,H80CS00827
